Date,Open,High,Low,Close,Adj Close,Volume
2007-11-01,13924.16,13924.16,12724.09,13371.72,.00,5980230000
2007-12-01,13368.22,13780.11,13092.00,13264.82,.00,4310320000
2008-01-01,13261.82,13279.54,11634.82,12650.36,.00,7459830000
2008-02-01,12638.17,12767.74,12069.47,12266.39,.00,5720360000
2008-03-01,12264.36,12622.07,11731.60,12262.89,.00,6229020000
2008-04-01,12266.64,13010.00,12266.47,12820.13,.00,5050840000
2008-05-01,12818.34,13136.69,12442.59,12638.32,.00,4530790000
2008-06-01,12637.67,12638.08,11287.56,11350.01,.00,5309950000
2008-07-01,11344.64,11698.17,10827.71,11378.02,.00,5551580000
2008-08-01,11379.89,11867.11,11221.53,11543.96,.00,3578210000
2008-09-01,11545.63,11790.17,10365.45,10850.66,.00,6302330000
2008-10-01,10847.40,10882.52,7882.51,9325.01,.00,8311580000
2008-11-01,9326.04,9653.95,7449.38,8829.04,.00,6262880000
2008-12-01,8826.89,9026.41,8118.50,8776.39,.00,5701870000
2009-01-01,8772.25,9088.06,7909.03,8000.86,.00,6261980000
2009-02-01,8000.62,8315.07,7033.62,7062.93,.00,7134360000
2009-03-01,7056.48,7931.33,6469.95,7608.92,.00,10561060000
2009-04-01,7606.13,8307.51,7483.87,8168.12,.00,7795900000
2009-05-01,8167.41,8591.93,8099.31,8500.33,.00,6734390000
2009-06-01,8501.53,8877.93,8259.43,8447.00,.00,5524080000
2009-07-01,8447.53,9246.43,8087.19,9171.61,.00,4902340000
2009-08-01,9173.65,9630.20,9116.52,9496.28,.00,4042210000
2009-09-01,9492.32,9917.99,9252.93,9712.28,.00,4478480000
2009-10-01,9711.60,10119.47,9430.08,9712.73,.00,5151150000
2009-11-01,9712.13,10495.61,9678.95,10344.84,.00,3813550000
2009-12-01,10343.82,10580.33,10235.63,10428.05,.00,4174040000
2010-01-01,10430.69,10729.89,10043.75,10067.33,.00,4424700000
2010-02-01,10068.99,10438.55,9835.09,10325.26,.00,4279660000
2010-03-01,10326.10,10955.48,10326.10,10856.63,.00,4388530000
2010-04-01,10857.31,11258.01,10844.09,11008.61,.00,4237550000
2010-05-01,11009.60,11177.67,9774.48,10136.63,.00,5605690000
2010-06-01,10133.94,10594.16,9753.84,9774.02,.00,4941680000
2010-07-01,9773.27,10584.99,9614.32,10465.94,.00,4243320000
2010-08-01,10468.82,10719.94,9936.62,10014.72,.00,4117550000
2010-09-01,10016.01,10948.88,10016.01,10788.05,.00,3764970000
2010-10-01,10789.72,11247.60,10711.12,11118.49,.00,3787250000
2010-11-01,11120.30,11451.53,10929.28,11006.02,.00,3808130000
2010-12-01,11007.23,11625.00,11007.23,11577.51,.00,3252900000
2011-01-01,11577.43,12020.52,11573.87,11891.93,.00,3681720000
2011-02-01,11892.50,12391.29,11892.50,12226.34,.00,3220480000
2011-03-01,12226.49,12383.46,11555.48,12319.73,.00,3851830000
2011-04-01,12321.02,12832.83,12093.89,12810.54,.00,3321090000
2011-05-01,12810.16,12876.00,12309.52,12569.79,.00,3578020000
2011-06-01,12569.41,12569.49,11862.53,12414.34,.00,3876460000
2011-07-01,12414.34,12753.89,12083.45,12143.24,.00,3092480000
2011-08-01,12144.22,12282.42,10604.07,11613.53,.00,6203230000
