Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,9239.25,9379.85,8897.54,9379.50,.00,988310000
2002-07-08,9375.70,9410.38,8599.66,8684.53,.00,1635760000
2002-07-15,8681.28,8723.37,7966.72,8019.26,.00,1776620000
2002-07-22,8015.04,8309.39,7532.66,8264.39,.00,2324300000
2002-07-29,8267.99,8762.14,8203.82,8313.13,.00,1594260000
2002-08-05,8312.92,8796.68,8030.82,8745.45,.00,1417620000
2002-08-12,8741.92,8854.21,8353.07,8778.06,.00,1303580000
2002-08-19,8777.09,9077.01,8753.52,8872.96,.00,1226310000
2002-08-26,8873.93,9017.02,8558.02,8663.50,.00,1039190000
2002-09-03,8659.27,8659.27,8217.05,8427.20,.00,1079940000
2002-09-09,8425.88,8726.90,8247.84,8312.69,.00,1106930000
2002-09-16,8311.79,8482.34,7922.07,7986.02,.00,1447340000
2002-09-23,7984.77,8012.42,7665.66,7701.45,.00,1594140000
2002-09-30,7698.81,7969.37,7460.78,7528.40,.00,1692110000
2002-10-07,7528.68,7901.26,7197.49,7850.29,.00,1802050000
2002-10-14,7848.21,8331.56,7745.70,8322.40,.00,1734550000
2002-10-21,8320.74,8558.63,8230.50,8443.99,.00,1483840000
2002-10-28,8448.98,8542.27,8198.04,8517.64,.00,1441040000
2002-11-04,8521.60,8800.00,8498.92,8537.13,.00,1488080000
2002-11-11,8535.81,8583.95,8298.68,8579.09,.00,1347450000
2002-11-18,8579.74,8880.39,8405.12,8804.84,.00,1474830000
2002-11-25,8804.97,8950.33,8670.18,8896.09,.00,818720000
2002-12-02,8902.95,9043.37,8501.86,8645.77,.00,1289460000
2002-12-09,8643.99,8643.99,8422.94,8433.71,.00,1091450000
2002-12-16,8436.59,8638.64,8327.78,8511.32,.00,1294060000
2002-12-23,8511.39,8565.01,8285.14,8303.78,.00,540990000
2002-12-30,8304.06,8635.49,8242.91,8601.69,.00,869150000
2003-01-06,8602.78,8818.55,8580.10,8784.89,.00,1269830000
2003-01-13,8787.83,8869.29,8559.11,8586.74,.00,1236340000
2003-01-21,8586.26,8623.49,8112.43,8131.01,.00,1039710000
2003-01-27,8128.54,8158.02,7917.16,8053.81,.00,1402810000
2003-02-03,8053.74,8152.53,7830.02,7864.23,.00,1118970000
2003-02-10,7865.74,7985.52,7628.99,7908.80,.00,1133880000
2003-02-18,7909.30,8076.02,7854.38,8018.11,.00,905220000
2003-02-24,8017.34,8017.34,7719.64,7891.08,.00,1260250000
2003-03-03,7890.24,7981.46,7562.65,7740.03,.00,1215230000
2003-03-10,7739.40,7931.63,7416.64,7859.71,.00,1378190000
2003-03-17,7857.96,8522.18,7779.73,8521.97,.00,1563550000
2003-03-24,8514.82,8514.82,8104.05,8145.77,.00,1158050000
2003-03-31,8142.83,8335.62,7929.31,8277.15,.00,1359300000
2003-04-07,8284.15,8520.21,8145.87,8203.41,.00,1197080000
2003-04-14,8203.97,8446.47,8201.55,8337.65,.00,1005350000
2003-04-21,8336.67,8526.38,8263.98,8306.35,.00,1163850000
2003-04-28,8306.84,8593.25,8305.03,8582.68,.00,1119650000
2003-05-05,8583.17,8641.22,8477.36,8604.60,.00,849400000
2003-05-12,8603.90,8743.47,8569.44,8678.97,.00,1078920000
2003-05-19,8676.52,8676.59,8416.72,8601.38,.00,1277470000
2003-05-27,8600.54,8868.33,8540.59,8850.26,.00,1065120000
2003-06-02,8851.45,9215.88,8851.45,9062.79,.00,1386370000
2003-06-09,9061.18,9236.11,8945.59,9117.12,.00,1045120000
2003-06-16,9117.56,9352.77,9117.56,9200.75,.00,1308810000
2003-06-23,9199.49,9199.70,8970.28,8989.05,.00,1023620000
2003-06-30,8990.74,9149.63,8871.20,9070.21,.00,840040000
2003-07-07,9073.92,9261.12,8996.76,9119.59,.00,1140940000
2003-07-14,9126.45,9278.41,9017.84,9188.15,.00,1275930000
2003-07-21,9187.80,9284.57,9037.30,9284.57,.00,1024490000
2003-07-28,9284.92,9361.40,9138.29,9153.97,.00,1066570000
2003-08-04,9154.18,9209.15,8997.11,9191.09,.00,971710000
2003-08-11,9189.62,9337.17,9146.62,9321.69,.00,751970000
2003-08-18,9320.66,9499.97,9320.59,9348.87,.00,1117470000
2003-08-25,9349.44,9421.23,9233.08,9415.82,.00,799960000
2003-09-02,9416.67,9609.09,9389.58,9503.34,.00,891970000
2003-09-08,9503.41,9599.34,9380.95,9471.55,.00,935890000
2003-09-15,9471.19,9686.08,9436.60,9644.82,.00,1057220000
2003-09-22,9641.80,9641.87,9303.82,9313.08,.00,1062470000
2003-09-29,9314.42,9666.53,9230.47,9572.31,.00,1143540000
2003-10-06,9572.39,9768.69,9536.02,9674.68,.00,946830000
2003-10-13,9675.72,9850.01,9675.57,9721.79,.00,993990000
2003-10-20,9721.50,9784.31,9497.72,9582.46,.00,1104100000
2003-10-27,9584.54,9839.86,9584.54,9801.12,.00,1090420000
2003-11-03,9802.46,9903.57,9773.12,9809.79,.00,948770000
2003-11-10,9807.49,9892.97,9719.05,9768.68,.00,951860000
2003-11-17,9765.64,9765.64,9585.50,9628.53,.00,1041690000
2003-11-24,9629.87,9804.98,9629.87,9782.46,.00,606200000
2003-12-01,9785.35,9942.01,9785.35,9862.68,.00,1177340000
2003-12-08,9862.01,10052.07,9859.57,10042.16,.00,1030630000
2003-12-15,10046.53,10293.19,10021.64,10278.22,.00,1157720000
2003-12-22,10276.48,10375.93,10255.26,10324.67,.00,452520000
2003-12-29,10321.35,10527.03,10321.35,10409.85,.00,596760000
2004-01-05,10411.85,10592.59,10411.85,10458.89,.00,1099260000
2004-01-12,10461.55,10600.74,10367.41,10600.51,.00,1095810000
2004-01-20,10601.40,10660.88,10490.96,10568.29,.00,893200000
2004-01-26,10568.00,10705.18,10417.85,10488.07,.00,1123350000
2004-02-02,10487.78,10593.40,10434.67,10593.03,.00,1007060000
2004-02-09,10592.00,10746.88,10559.26,10627.85,.00,1041710000
2004-02-17,10628.88,10753.63,10580.66,10619.03,.00,774550000
2004-02-23,10619.55,10652.36,10521.70,10583.92,.00,1071320000
2004-03-01,10582.25,10695.55,10524.59,10595.55,.00,1016960000
2004-03-08,10595.37,10634.29,10120.38,10240.08,.00,1219970000
2004-03-15,10238.45,10328.82,10092.47,10186.60,.00,1075330000
2004-03-22,10185.93,10271.78,10007.49,10212.97,.00,1103750000
2004-03-29,10212.91,10496.44,10212.91,10470.59,.00,1055360000
2004-04-05,10470.59,10570.81,10393.91,10442.03,.00,763620000
2004-04-12,10444.38,10552.61,10322.16,10451.97,.00,1072730000
2004-04-19,10451.62,10496.61,10250.48,10472.84,.00,1153490000
2004-04-26,10472.91,10537.35,10219.18,10225.57,.00,1078430000
2004-05-03,10227.27,10386.32,10114.86,10117.34,.00,1009850000
2004-05-10,10116.28,10116.28,9852.19,10012.87,.00,1132670000
2004-05-17,10009.92,10093.21,9862.77,9966.74,.00,955400000
2004-05-24,9968.02,10222.24,9915.86,10188.45,.00,918880000
2004-06-01,10187.18,10302.08,10134.86,10242.82,.00,674160000
2004-06-07,10243.31,10432.81,10243.31,10410.10,.00,671890000
2004-06-14,10401.23,10437.90,10307.05,10416.41,.00,1013830000
2004-06-21,10417.82,10498.67,10307.25,10371.84,.00,1112120000
2004-06-28,10377.52,10471.24,10264.92,10282.83,.00,1020610000
2004-07-06,10280.26,10280.26,10166.25,10213.22,.00,703030000
2004-07-12,10211.75,10286.89,10135.13,10139.78,.00,1114290000
2004-07-19,10140.95,10237.12,9931.77,9962.22,.00,1160000000
2004-07-26,9964.71,10163.01,9913.92,10139.71,.00,1093360000
2004-08-02,10138.45,10203.56,9793.05,9815.33,.00,919760000
2004-08-09,9816.14,9954.18,9783.91,9825.35,.00,929510000
2004-08-16,9825.35,10126.88,9825.35,10110.14,.00,922190000
2004-08-23,10111.10,10211.25,10062.13,10195.01,.00,706660000
2004-08-30,10193.83,10321.77,10074.22,10260.20,.00,847250000
2004-09-07,10261.52,10363.36,10237.78,10313.07,.00,867490000
