Ticker,discription
DX-Y.NYB,USDINDEX
EURUSD=X,EUR/USD
GBPUSD=X,GBP/USD
AUDUSD=X,AUD/USD
NZDUSD=X,NZD/USD
CAD=X,USD/CAD
CADUSD=X,CAD/USD
CADCNY=X,CAD/CNY
JPY=X,USD/JPY
CHF=X,USD/CHF
CHFUSD=X,CHF/USD
CNY=X,USD/CYN
CNYUSD=X,CNY/USD
TWD=X,USD/TWD
CADTWD=X,CAD/TWD
KRW=X,USD/KRW
RUB=X,USD/RUB
GC=F,Glod
SI=F,Silver
CL=F,Crude Oil
NG=F,Nature Gas

