Ticker,discription
3583.TW,辛耘
2434.TW,統懋
1560.TW,中砂
3016.TW,嘉晶
3532.TW,台勝科
2303.TW,聯電
2330.TW,台積庫
8028.TW,昇陽半導體
2337.TW,旺宏
4919.TW,新唐
2342.TW,茂矽
6182.TWO,合晶
5483.TWO,中美晶
6488.TWO,環球晶
6287.TWO,元隆
5347.TWO,世界
3707.TWO,漢磊
